Math,Physics,Chemistry,Biology,Coding,Engineering,Interest
1,5,3,5,1,3,Biotechnology
1,5,5,3,3,3,Mechanical Engineering
5,2,1,3,3,1,Software Development
1,2,5,3,4,3,Biotechnology
3,2,5,2,3,4,Software Development
1,5,3,4,2,1,Medicine
5,4,1,2,5,5,Mechanical Engineering
1,2,1,3,1,2,Environmental Science
4,1,3,5,5,4,Medicine
4,4,3,5,1,1,Astronomy
1,4,3,2,2,4,Mechanical Engineering
4,5,5,4,4,3,Astronomy
3,4,5,5,5,3,Software Development
5,3,4,4,3,5,Environmental Science
3,5,3,2,1,2,Astronomy
2,5,2,3,4,3,Mechanical Engineering
5,3,3,1,5,5,Software Development
3,4,1,4,5,5,Astronomy
4,1,5,5,4,5,Biotechnology
5,5,5,3,1,1,Biotechnology
2,3,2,4,1,3,Environmental Science
3,4,4,3,2,3,Environmental Science
4,4,5,3,5,1,Software Development
3,5,4,5,2,5,Biotechnology
5,4,3,3,5,3,Medicine
5,2,5,5,5,5,Biotechnology
5,1,3,5,4,3,Biotechnology
3,5,1,5,5,4,Mechanical Engineering
3,5,3,1,1,1,Astronomy
1,4,4,2,2,3,Mechanical Engineering
2,4,2,3,1,5,Environmental Science
4,5,3,3,1,1,Biotechnology
4,5,4,1,1,4,Astronomy
3,4,4,4,2,2,Medicine
2,4,5,4,2,5,Medicine
3,5,3,4,1,1,Medicine
4,4,2,3,1,4,Astronomy
5,3,2,1,3,2,Astronomy
2,3,3,5,1,2,Medicine
1,2,5,3,3,5,Medicine
2,2,5,3,5,1,Medicine
5,1,2,3,5,3,Environmental Science
4,1,5,3,5,4,Biotechnology
2,1,4,5,3,1,Medicine
4,5,3,3,2,2,Astronomy
4,5,2,4,5,3,Environmental Science
3,3,5,3,2,3,Astronomy
5,1,1,3,1,1,Environmental Science
2,4,2,3,1,5,Environmental Science
4,5,4,4,4,3,Mechanical Engineering
3,3,3,3,3,5,Biotechnology
3,2,3,4,5,1,Biotechnology
3,5,2,3,3,2,Software Development
5,4,3,3,3,5,Medicine
2,5,4,5,4,5,Medicine
4,3,5,4,2,5,Astronomy
4,4,3,1,3,1,Software Development
2,3,5,5,2,4,Medicine
4,4,3,5,1,1,Astronomy
3,1,3,1,3,1,Software Development
1,4,3,5,3,2,Biotechnology
2,1,4,3,1,1,Environmental Science
4,4,3,1,3,1,Software Development
1,3,3,3,3,4,Mechanical Engineering
2,3,2,5,5,5,Environmental Science
3,1,4,2,4,5,Software Development
3,3,4,5,3,3,Mechanical Engineering
1,2,5,3,3,5,Medicine
3,5,4,5,2,5,Biotechnology
3,3,4,5,3,3,Mechanical Engineering
